epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,13855.4,0.76958,0.53844,1.5796,0.77653,0.78174,0.82267,0.67127,0.68485,0.46338,1.63532,0.00868825,0.00868825,0.00868825
55,14105.9,0.76831,0.53616,1.5863,0.77592,0.79006,0.82552,0.67356,0.68387,0.46165,1.63408,0.0086635,0.0086635,0.0086635
56,14363.7,0.76428,0.53319,1.58567,0.77525,0.78896,0.82565,0.67419,0.68244,0.46121,1.6365,0.00863875,0.00863875,0.00863875
57,14621,0.76598,0.53335,1.58376,0.7736,0.78859,0.82439,0.67259,0.6818,0.46176,1.63627,0.008614,0.008614,0.008614
58,14871.1,0.76234,0.52892,1.58895,0.76294,0.7966,0.82363,0.67286,0.68151,0.4615,1.63689,0.00858925,0.00858925,0.00858925
59,15121.4,0.75745,0.52532,1.58689,0.7722,0.78797,0.82288,0.67248,0.6813,0.46093,1.63813,0.0085645,0.0085645,0.0085645
60,15371.8,0.76152,0.529,1.58434,0.77767,0.78204,0.82306,0.67199,0.68153,0.4608,1.63738,0.00853975,0.00853975,0.00853975
61,15622,0.75975,0.52756,1.582,0.78532,0.78212,0.82401,0.67244,0.68149,0.45989,1.63623,0.008515,0.008515,0.008515
62,15871.9,0.75777,0.52438,1.58145,0.78342,0.78321,0.82508,0.67376,0.68092,0.45875,1.63569,0.00849025,0.00849025,0.00849025
63,16122.3,0.75798,0.52431,1.58223,0.78647,0.78244,0.82593,0.67469,0.68038,0.45753,1.63542,0.0084655,0.0084655,0.0084655
64,16380.1,0.7583,0.52461,1.57786,0.78806,0.77992,0.8271,0.6758,0.68005,0.45688,1.63535,0.00844075,0.00844075,0.00844075
65,16637.8,0.75645,0.52256,1.57896,0.78682,0.78098,0.82761,0.67606,0.68017,0.4561,1.63501,0.008416,0.008416,0.008416
66,16895.6,0.75614,0.52236,1.57334,0.77533,0.79369,0.82858,0.67688,0.6797,0.45525,1.63463,0.00839125,0.00839125,0.00839125
67,17153.4,0.75366,0.52144,1.57944,0.78428,0.7865,0.82836,0.67761,0.67926,0.45404,1.63505,0.0083665,0.0083665,0.0083665
68,17411.3,0.75732,0.5243,1.57241,0.78631,0.78362,0.82908,0.67782,0.67887,0.45339,1.63443,0.00834175,0.00834175,0.00834175
69,17669.8,0.75435,0.5198,1.57288,0.77995,0.7955,0.83026,0.67916,0.67856,0.4526,1.63422,0.008317,0.008317,0.008317
70,17927.5,0.75441,0.52019,1.57405,0.78199,0.79099,0.83067,0.67965,0.6784,0.45249,1.63344,0.00829225,0.00829225,0.00829225
71,18188.2,0.75323,0.51739,1.56815,0.78301,0.79229,0.83133,0.6799,0.6784,0.45218,1.6327,0.0082675,0.0082675,0.0082675
72,18446.1,0.74943,0.51445,1.57288,0.782,0.79382,0.83125,0.68003,0.67832,0.45211,1.63254,0.00824275,0.00824275,0.00824275
73,18703.7,0.7503,0.51432,1.57743,0.78217,0.79265,0.83118,0.68017,0.6783,0.45196,1.63241,0.008218,0.008218,0.008218
74,18961.5,0.7471,0.51383,1.57282,0.78004,0.79575,0.83166,0.68072,0.67796,0.45147,1.63204,0.00819325,0.00819325,0.00819325
75,19219.5,0.74997,0.51362,1.57555,0.78001,0.79872,0.83201,0.68093,0.67765,0.45101,1.63177,0.0081685,0.0081685,0.0081685
76,19477.1,0.75004,0.51186,1.56932,0.78241,0.79895,0.83262,0.6813,0.67775,0.45057,1.6315,0.00814375,0.00814375,0.00814375
77,19735.1,0.74681,0.50916,1.5724,0.78176,0.79995,0.83307,0.68172,0.67762,0.45019,1.63131,0.008119,0.008119,0.008119
78,19993,0.74446,0.50876,1.56897,0.7804,0.80189,0.83372,0.68246,0.6772,0.44968,1.6311,0.00809425,0.00809425,0.00809425
79,20250.7,0.74551,0.50997,1.57028,0.77844,0.80502,0.83377,0.68261,0.67702,0.4495,1.63095,0.0080695,0.0080695,0.0080695
80,20508.6,0.74459,0.50951,1.56529,0.77837,0.80489,0.83389,0.68324,0.67688,0.44933,1.63067,0.00804475,0.00804475,0.00804475
81,20766.5,0.74481,0.50969,1.56448,0.7768,0.80696,0.83415,0.68374,0.67685,0.44887,1.63026,0.00802,0.00802,0.00802
82,21024,0.74046,0.50656,1.56825,0.77659,0.80701,0.83436,0.68336,0.67669,0.44867,1.62987,0.00799525,0.00799525,0.00799525
83,21274.2,0.74587,0.50841,1.56552,0.7768,0.80651,0.83442,0.68367,0.67661,0.44866,1.6295,0.0079705,0.0079705,0.0079705
84,21524.7,0.74264,0.50617,1.56521,0.7785,0.80525,0.83457,0.68364,0.67631,0.44839,1.62915,0.00794575,0.00794575,0.00794575
85,21775.6,0.7406,0.50416,1.56199,0.77869,0.8059,0.83458,0.68418,0.67619,0.44801,1.62871,0.007921,0.007921,0.007921
86,22033.7,0.73945,0.50737,1.55644,0.77722,0.80783,0.83441,0.68411,0.67633,0.44822,1.62817,0.00789625,0.00789625,0.00789625
87,22284.1,0.74081,0.50549,1.5586,0.77963,0.80531,0.83476,0.68442,0.67631,0.44798,1.62754,0.0078715,0.0078715,0.0078715
88,22541.8,0.73598,0.50086,1.55992,0.77974,0.80552,0.83481,0.6846,0.67606,0.44766,1.62712,0.00784675,0.00784675,0.00784675
89,22800.2,0.73776,0.49991,1.5618,0.78156,0.8057,0.83528,0.68499,0.67588,0.44742,1.62663,0.007822,0.007822,0.007822
90,23058.6,0.73754,0.49992,1.56112,0.78322,0.8053,0.83568,0.68512,0.67573,0.44709,1.62626,0.00779725,0.00779725,0.00779725
91,23316.4,0.73578,0.50022,1.55796,0.78492,0.80658,0.83608,0.68582,0.6756,0.44696,1.62576,0.0077725,0.0077725,0.0077725
92,23574.9,0.7384,0.5045,1.5555,0.78694,0.80716,0.83664,0.68646,0.67551,0.44678,1.62492,0.00774775,0.00774775,0.00774775
93,23832.8,0.73604,0.50037,1.56637,0.78573,0.80847,0.83712,0.68699,0.67554,0.44684,1.62442,0.007723,0.007723,0.007723
94,24090.9,0.73258,0.49764,1.55426,0.78386,0.8107,0.83772,0.68754,0.67542,0.44665,1.62408,0.00769825,0.00769825,0.00769825
95,24348.7,0.73613,0.49957,1.55647,0.78552,0.80809,0.83796,0.68742,0.67519,0.44631,1.62336,0.0076735,0.0076735,0.0076735
96,24599,0.73549,0.49833,1.55585,0.784,0.81129,0.83788,0.68776,0.67515,0.44626,1.62286,0.00764875,0.00764875,0.00764875
97,24856.9,0.72961,0.49432,1.55207,0.78526,0.81009,0.83823,0.68805,0.67494,0.44614,1.62224,0.007624,0.007624,0.007624
98,25114.6,0.72838,0.49506,1.55835,0.78548,0.80892,0.83852,0.68837,0.67506,0.44603,1.62233,0.00759925,0.00759925,0.00759925
99,25373,0.73346,0.49735,1.55636,0.78391,0.81121,0.83874,0.68869,0.67491,0.44577,1.62165,0.0075745,0.0075745,0.0075745
100,25631.1,0.7276,0.49345,1.55936,0.78838,0.80648,0.83923,0.68967,0.67483,0.44571,1.62162,0.00754975,0.00754975,0.00754975
101,25889.2,0.7261,0.48799,1.55114,0.78785,0.80618,0.83969,0.6901,0.67471,0.44539,1.62127,0.007525,0.007525,0.007525
102,26147.2,0.72489,0.49033,1.55328,0.78718,0.8081,0.84017,0.69007,0.67446,0.44534,1.62104,0.00750025,0.00750025,0.00750025
103,26405.1,0.72862,0.49198,1.55325,0.78838,0.80719,0.84035,0.6904,0.67444,0.44516,1.62098,0.0074755,0.0074755,0.0074755
104,26662.9,0.72416,0.49064,1.55061,0.78812,0.80721,0.84056,0.69102,0.67403,0.44496,1.62077,0.00745075,0.00745075,0.00745075
105,26920.8,0.72597,0.49087,1.54358,0.7897,0.80608,0.84097,0.69135,0.67387,0.44489,1.62023,0.007426,0.007426,0.007426
106,27179.4,0.7251,0.48916,1.5524,0.7908,0.80554,0.84113,0.69167,0.67354,0.44481,1.62009,0.00740125,0.00740125,0.00740125
107,27437.3,0.72413,0.48732,1.54795,0.79239,0.8042,0.84156,0.69166,0.67323,0.44458,1.61975,0.0073765,0.0073765,0.0073765
108,27695.4,0.72374,0.48837,1.55216,0.79274,0.80301,0.84165,0.69219,0.67298,0.44451,1.6193,0.00735175,0.00735175,0.00735175
109,27954.4,0.72398,0.48706,1.55093,0.79324,0.80344,0.84186,0.69226,0.67272,0.44427,1.61884,0.007327,0.007327,0.007327
110,28213.4,0.72267,0.48602,1.54487,0.79395,0.80117,0.84203,0.69236,0.67248,0.44402,1.61832,0.00730225,0.00730225,0.00730225
111,28471,0.72179,0.48441,1.54959,0.79541,0.80002,0.84241,0.69267,0.67227,0.44395,1.61793,0.0072775,0.0072775,0.0072775
112,28728.6,0.72166,0.48529,1.54458,0.79448,0.80049,0.84279,0.69288,0.67218,0.44396,1.61773,0.00725275,0.00725275,0.00725275
113,28986.7,0.72368,0.48734,1.54202,0.79448,0.80084,0.84292,0.69297,0.67197,0.44408,1.61709,0.007228,0.007228,0.007228
114,29244.3,0.71804,0.4814,1.5514,0.79404,0.80184,0.84299,0.69288,0.67184,0.4441,1.61677,0.00720325,0.00720325,0.00720325
115,29496.3,0.71895,0.48266,1.55003,0.79506,0.80146,0.84322,0.69341,0.67173,0.44397,1.61656,0.0071785,0.0071785,0.0071785
116,29754.1,0.7189,0.47981,1.5441,0.79464,0.80281,0.8433,0.69361,0.67161,0.44387,1.6163,0.00715375,0.00715375,0.00715375
117,30011.8,0.7173,0.47985,1.54483,0.79509,0.80496,0.84341,0.69374,0.67149,0.44373,1.61569,0.007129,0.007129,0.007129
118,30269.3,0.71668,0.4805,1.54597,0.79467,0.80507,0.84378,0.69438,0.67132,0.44373,1.61557,0.00710425,0.00710425,0.00710425
119,31118.7,0.71576,0.47965,1.54785,0.79621,0.80599,0.84409,0.69419,0.67106,0.4435,1.61553,0.0070795,0.0070795,0.0070795
120,31369.8,0.71391,0.47915,1.54532,0.79348,0.80692,0.84433,0.69469,0.67101,0.44343,1.61563,0.00705475,0.00705475,0.00705475
121,31628.6,0.71667,0.47997,1.54542,0.79348,0.80906,0.84455,0.69461,0.67096,0.4432,1.61523,0.00703,0.00703,0.00703
122,31879.9,0.71382,0.48044,1.54845,0.79629,0.80639,0.8449,0.69514,0.67077,0.44322,1.61492,0.00700525,0.00700525,0.00700525
123,32138.8,0.71292,0.47624,1.54505,0.79642,0.8073,0.84512,0.69545,0.67064,0.44294,1.61458,0.0069805,0.0069805,0.0069805
124,32398,0.71201,0.47644,1.53826,0.79711,0.80787,0.84534,0.69571,0.6705,0.44278,1.61392,0.00695575,0.00695575,0.00695575
125,32656.2,0.7132,0.47459,1.53866,0.79746,0.80753,0.84575,0.69606,0.67037,0.44265,1.61335,0.006931,0.006931,0.006931
126,32914.4,0.7087,0.47205,1.54072,0.79627,0.80817,0.84611,0.69643,0.67041,0.44245,1.61293,0.00690625,0.00690625,0.00690625
127,33172.5,0.71052,0.47102,1.5356,0.79583,0.80947,0.84587,0.696,0.67045,0.44256,1.61228,0.0068815,0.0068815,0.0068815
