epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,9351.63,0.79976,0.57408,1.62986,0.74164,0.76596,0.78971,0.6273,0.72531,0.49977,1.68055,0.0075745,0.0075745,0.0075745
100,9445.58,0.79869,0.5737,1.63012,0.74171,0.76717,0.78973,0.62756,0.72526,0.49958,1.68041,0.00754975,0.00754975,0.00754975
101,9539.75,0.79323,0.5682,1.63145,0.74437,0.76507,0.79009,0.62801,0.72522,0.49966,1.68009,0.007525,0.007525,0.007525
102,9633.73,0.79185,0.56805,1.62547,0.74454,0.76419,0.79017,0.62814,0.72516,0.49948,1.67993,0.00750025,0.00750025,0.00750025
103,9727.9,0.7973,0.57062,1.62954,0.74727,0.76119,0.7899,0.6283,0.72515,0.49939,1.6795,0.0074755,0.0074755,0.0074755
104,9822.07,0.79516,0.57056,1.6268,0.74694,0.76135,0.79046,0.62886,0.72501,0.49934,1.67912,0.00745075,0.00745075,0.00745075
105,9916.06,0.79547,0.56802,1.62314,0.74568,0.7608,0.79006,0.6288,0.72522,0.49913,1.67852,0.007426,0.007426,0.007426
106,10009.2,0.79279,0.56674,1.62247,0.74419,0.76208,0.79045,0.62927,0.7252,0.49906,1.67845,0.00740125,0.00740125,0.00740125
107,10103.2,0.79159,0.56368,1.62188,0.74833,0.75961,0.79052,0.62934,0.72529,0.49883,1.67803,0.0073765,0.0073765,0.0073765
108,10197.5,0.7928,0.5693,1.62296,0.74866,0.75899,0.79068,0.62932,0.72517,0.49881,1.67771,0.00735175,0.00735175,0.00735175
109,10291.5,0.79226,0.56496,1.61999,0.74798,0.76118,0.79084,0.62963,0.72531,0.49888,1.67732,0.007327,0.007327,0.007327
110,10385.7,0.79122,0.56765,1.61758,0.74906,0.76076,0.7911,0.62996,0.72533,0.49865,1.67704,0.00730225,0.00730225,0.00730225
111,10480,0.79013,0.56463,1.61951,0.75016,0.7602,0.79133,0.62994,0.72542,0.49877,1.67649,0.0072775,0.0072775,0.0072775
112,10573.1,0.7908,0.5634,1.62029,0.7514,0.76074,0.79168,0.63014,0.7255,0.49891,1.67614,0.00725275,0.00725275,0.00725275
113,10667.2,0.79104,0.56466,1.61553,0.75159,0.76061,0.79189,0.63021,0.72545,0.49884,1.67576,0.007228,0.007228,0.007228
114,10761.1,0.7869,0.5645,1.61912,0.75285,0.7609,0.79215,0.63071,0.72519,0.49864,1.67544,0.00720325,0.00720325,0.00720325
115,10854.9,0.78778,0.56178,1.622,0.75298,0.76058,0.79211,0.63047,0.72524,0.49838,1.67534,0.0071785,0.0071785,0.0071785
116,10948.1,0.78929,0.56244,1.61782,0.75378,0.76199,0.79231,0.63074,0.72522,0.49831,1.67487,0.00715375,0.00715375,0.00715375
117,11042,0.7885,0.56122,1.61942,0.75329,0.76202,0.79228,0.63072,0.7252,0.49836,1.67466,0.007129,0.007129,0.007129
118,11135,0.78863,0.56258,1.62009,0.75422,0.76081,0.79264,0.63124,0.72511,0.49821,1.67418,0.00710425,0.00710425,0.00710425
119,11228.9,0.78299,0.55907,1.6251,0.75385,0.7609,0.79291,0.63124,0.72504,0.49791,1.67366,0.0070795,0.0070795,0.0070795
120,11322.7,0.7845,0.55762,1.61847,0.75274,0.76151,0.79304,0.63192,0.72497,0.49786,1.67333,0.00705475,0.00705475,0.00705475
121,11416.7,0.78306,0.55669,1.61988,0.75195,0.76099,0.79329,0.63214,0.72472,0.49764,1.67306,0.00703,0.00703,0.00703
122,11510.8,0.78344,0.55916,1.61476,0.75199,0.76341,0.79336,0.63235,0.72456,0.49736,1.67286,0.00700525,0.00700525,0.00700525
123,11605.7,0.78683,0.55848,1.61862,0.75284,0.7621,0.79346,0.63265,0.72436,0.4971,1.67257,0.0069805,0.0069805,0.0069805
124,11699.7,0.77893,0.5546,1.61447,0.75265,0.76242,0.79294,0.63258,0.72419,0.49677,1.6724,0.00695575,0.00695575,0.00695575
125,11792.8,0.78503,0.55873,1.61836,0.75461,0.76221,0.79291,0.63261,0.72407,0.4966,1.67223,0.006931,0.006931,0.006931
126,11885.7,0.77999,0.55372,1.61679,0.75491,0.76244,0.79322,0.63276,0.72383,0.49643,1.67196,0.00690625,0.00690625,0.00690625
127,11979.7,0.77733,0.55123,1.61304,0.75544,0.76261,0.79329,0.63292,0.72362,0.49618,1.67174,0.0068815,0.0068815,0.0068815
128,12074,0.78013,0.55242,1.61412,0.75552,0.76269,0.79332,0.63312,0.72337,0.49585,1.67151,0.00685675,0.00685675,0.00685675
129,12168.2,0.78108,0.55475,1.61462,0.75757,0.7619,0.79333,0.6332,0.72318,0.49588,1.67121,0.006832,0.006832,0.006832
